Hospital ID,Hospital Name,State / Region,City,Locality / Area,Primary Specialties / Centers of Excellence,Bed Capacity (approx),Accreditations,Type,Emergency / Trauma Care (24x7),Key Facilities,Rating (out of 5.0),Contact / Helpline,Website URL,Listing Status
HOS-059,Desun Hospital,West Bengal,Kolkata,Kasba Golpark,"Cardiology, Multi-Specialty",300,"NABH, NABL",Private,Yes,"ICU, Cath Lab",4.3,033-71222000,desunhospital.com,Active
HOS-060,RN Tagore Hospital (Narayana),West Bengal,Kolkata,Mukundapur,"Cardiology, Cardiac Surgery",681,"JCI, NABH",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.6,1800-309-0309,narayanahealth.org,Active
HOS-061,Aster Medcity,Kerala,Kochi,Cheranallur,"Multi-Specialty, Cardiology, Oncology",670,"JCI, NABH",Private,Yes,"ICU, Organ Transplant, Robotic Surgery",4.8,0484-6699999,astermedcity.com,Active
HOS-062,Amrita Hospital,Kerala,Kochi,Ponekkara,"Multi-Specialty, Organ Transplant",1300,"NABH, NABL",Trust,Yes,"ICU, Organ Transplant, Robotic Surgery",4.7,0484-2851234,amritahospitals.org,Active
HOS-063,VPS Lakeshore Hospital,Kerala,Kochi,Nettoor,"Multi-Specialty, Gastroenterology, Oncology",350,NABH,Private,Yes,"ICU, Organ Transplant, Cath Lab",4.5,0484-2701032,vpslakeshorehospital.com,Active
HOS-064,Rajagiri Hospital,Kerala,Kochi,Aluva,"Multi-Specialty, Cardiology, Neurology",500,"NABH, NABL",Private,Yes,"ICU, Cath Lab",4.6,0484-2905500,rajagirihospital.com,Active
HOS-065,Medical Trust Hospital,Kerala,Kochi,MG Road,"Multi-Specialty, Trauma Care",750,NABH,Private,Yes,"ICU, Organ Transplant, Cath Lab",4.4,0484-2358001,medicaltrusthospital.com,Active
HOS-066,Lisie Hospital,Kerala,Kochi,Kaloor,"Multi-Specialty, Cardiology",750,NABH,Trust,Yes,"ICU, Cath Lab",4.5,0484-2402044,lisiehospital.org,Active
HOS-067,Sunrise Hospital,Kerala,Kochi,Kakkanad,"Laparoscopic Surgery, Multi-Specialty",250,NABH,Private,Yes,"ICU, Cath Lab",4.3,0484-2428970,sunrisehospital.in,Active
HOS-068,Renai Medicity,Kerala,Kochi,Palarivattom,Multi-Specialty,500,NABH,Private,Yes,"ICU, Cath Lab",4.4,0484-2880000,renaimedicity.org,Active
HOS-069,Lourdes Hospital,Kerala,Kochi,Pachalam,Multi-Specialty,650,NABH,Trust,Yes,"ICU, Cath Lab",4.3,0484-4123456,lourdeshospital.in,Active
HOS-070,Apollo Adlux Hospital,Kerala,Kochi,Angamaly,"Multi-Specialty, Cardiology",300,NABH,Private,Yes,"ICU, Cath Lab",4.5,0484-2735000,apolloadlux.com,Active
HOS-071,Goa Medical College & Hospital (GMC),Goa,Bambolim,Bambolim,Multi-Specialty,1400,Govt,Govt,Yes,"ICU, Cath Lab",4.2,0832-2458700,gmc.goa.gov.in,Active
HOS-072,Manipal Hospital Goa,Goa,Panaji,Dona Paula,"Multi-Specialty, Oncology",235,"NABH, NABL",Private,Yes,"ICU, Cath Lab",4.5,1800-102-5555,manipalhospitals.com,Active
HOS-073,Healthway Hospitals,Goa,Old Goa,Old Goa,Multi-Specialty,250,NABH,Private,Yes,"ICU, Cath Lab",4.4,0832-2495555,healthwayhospitals.com,Active
HOS-074,Victor Hospital,Goa,Margao,Margao,"Multi-Specialty, Cardiology",150,NABH,Private,Yes,"ICU, Cath Lab",4.3,0832-2728888,victorhospital.com,Active
HOS-075,Apollo Victor Hospital,Goa,Margao,Margao,Multi-Specialty,150,NABH,Private,Yes,"ICU, Cath Lab",4.4,0832-2728888,apollohospitals.com,Active
HOS-076,SMRC Hospital,Goa,Vasco,Chicalim,Multi-Specialty,120,NABH,Private,Yes,ICU,4.3,0832-2513333,smrchospital.com,Active
HOS-077,Galaxy Hospital,Goa,Mapusa,Mapusa,Multi-Specialty,100,NABH,Private,Yes,ICU,4.1,0832-2266666,galaxyhospitalgoa.com,Active
HOS-078,Vision Multispecialty Hospital,Goa,Mapusa,Alto Duler,Multi-Specialty,100,NABH,Private,Yes,ICU,4.2,0832-2265555,visionhospitalgoa.com,Active
HOS-079,Vintage Hospital,Goa,Panaji,Panaji,Multi-Specialty,80,NABH,Private,Yes,ICU,4,0832-2224444,vintagehospital.com,Active
HOS-080,Campal Clinic,Goa,Panaji,Panaji,"General Medicine, Surgery",50,-,Private,Yes,ICU,4.1,0832-2225555,campalclinic.com,Active
HOS-081,Sawai Man Singh (SMS) Hospital,Rajasthan,Jaipur,JL Nehru Marg,Multi-Specialty,6000,NABH,Govt,Yes,"ICU, Cath Lab",4.3,0141-2560291,education.rajasthan.gov.in,Active
HOS-082,Eternal Hospital (EHCC),Rajasthan,Jaipur,Jawahar Circle,"Cardiology, Multi-Specialty",250,"JCI, NABH",Private,Yes,"ICU, Cath Lab",4.6,0141-7130000,eternalhospital.com,Active
HOS-083,Fortis Escorts Hospital,Rajasthan,Jaipur,Malviya Nagar,"Multi-Specialty, Cardiology",275,"NABH, NABL",Private,Yes,"ICU, Cath Lab",4.5,0141-2547000,fortishealthcare.com,Active
HOS-084,Narayana Multispeciality Hospital,Rajasthan,Jaipur,Pratap Nagar,"Multi-Specialty, Cardiology",330,NABH,Private,Yes,"ICU, Cath Lab",4.5,1800-309-0309,narayanahealth.org,Active
HOS-085,Manipal Hospital Jaipur,Rajasthan,Jaipur,Vidhyadhar Nagar,Multi-Specialty,225,NABH,Private,Yes,"ICU, Cath Lab",4.4,1800-102-5555,manipalhospitals.com,Active
HOS-086,Apex Hospitals,Rajasthan,Jaipur,Malviya Nagar,Multi-Specialty,200,NABH,Private,Yes,"ICU, Cath Lab",4.3,0141-4101111,apexhospitals.com,Active
HOS-087,Santokba Durlabhji Memorial Hospital (SDMH),Rajasthan,Jaipur,Bapu Nagar,Multi-Specialty,551,NABH,Trust,Yes,"ICU, Cath Lab",4.5,0141-2566251,sdmh.in,Active
HOS-088,Shalby Multi-Specialty Hospital,Rajasthan,Jaipur,Chitrakoot,"Orthopedics, Multi-Specialty",237,NABH,Private,Yes,"ICU, Cath Lab",4.4,0141-7123888,shalby.org,Active
HOS-089,Bhagwan Mahaveer Cancer Hospital,Rajasthan,Jaipur,JL Nehru Marg,Oncology,200,NABH,Trust,Yes,"ICU, Robotic Surgery",4.6,0141-2700107,bmchrc.org,Active
HOS-090,Rukmani Birla Hospital (RBH),Rajasthan,Jaipur,Gopalpura Bypass,Multi-Specialty,230,NABH,Private,Yes,"ICU, Cath Lab",4.4,0141-7177777,rbh.com,Active
HOS-091,Ruby Hall Clinic,Maharashtra,Pune,Sassoon Road,"Multi-Specialty, Cardiology, Oncology",600,"NABH, NABL",Trust,Yes,"ICU, Organ Transplant, Cath Lab",4.6,020-66455150,rubyhall.com,Active
HOS-092,Sahyadri Super Speciality Hospital,Maharashtra,Pune,Deccan Gymkhana,"Multi-Specialty, Neurology, Hematology",202,NABH,Private,Yes,"ICU, Organ Transplant",4.5,020-67215000,sahyadrihospital.com,Active
HOS-093,Jehangir Hospital,Maharashtra,Pune,Sassoon Road,Multi-Specialty,350,"NABH, NABL",Trust,Yes,"ICU, Cath Lab",4.4,020-66819999,jehangirhospital.com,Active
HOS-094,Deenanath Mangeshkar Hospital,Maharashtra,Pune,Erandwane,"Multi-Specialty, Oncology",800,NABH,Trust,Yes,"ICU, Organ Transplant",4.7,020-40151000,dmhospital.org,Active
HOS-095,Manipal Hospital Pune,Maharashtra,Pune,Kharadi,Multi-Specialty,250,NABH,Private,Yes,"ICU, Cath Lab",4.4,1800-102-5555,manipalhospitals.com,Active
HOS-096,Jupiter Hospital,Maharashtra,Pune,Baner,"Multi-Specialty, Organ Transplant",350,NABH,Private,Yes,"ICU, Organ Transplant, Cath Lab",4.6,020-27992222,jupiterhospital.com,Active
HOS-097,Bharati Vidyapeeth Medical College & Hospital,Maharashtra,Pune,Dhankawadi,Multi-Specialty,1000,NABH,Trust,Yes,"ICU, Cath Lab",4.3,020-24361792,bvmc.bharatividyapeeth.edu,Active
HOS-098,Sancheti Hospital,Maharashtra,Pune,Shivajinagar,Orthopedics,200,NABH,Private,Yes,"ICU, Robotic Surgery",4.7,020-25539393,sanchetihospital.org,Active
HOS-099,Aditya Birla Memorial Hospital,Maharashtra,Pune,Chinchwad,Multi-Specialty,500,"JCI, NABH",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.5,020-30717500,adityabirlahospital.com,Active
HOS-100,Inamdar Multispeciality Hospital,Maharashtra,Pune,Fatima Nagar,Multi-Specialty,120,NABH,Private,Yes,"ICU, Cath Lab",4.2,020-66046604,inamdarhospital.com,Active
